Player Name,Player Code,Tournament,Outcome,Zone,X,Y,api_id
Thomas Müller,35166,"UEFA Champions League, Knockout stage",save,low-left,38.17,72.5,6049361
Thomas Müller,35166,DFB Pokal,save,low-right,67.74,74.67,6049362
Thomas Müller,35166,Bundesliga,goal,low-right,62.9,99.0,6049363
Thomas Müller,35166,"UEFA Champions League, Group F",post,right,78.49,94.67,6049364
Thomas Müller,35166,Bundesliga,goal,low-right,74.19,96.83,6049365
Thomas Müller,35166,Bundesliga,goal,low-right,61.83,99.0,6049366
Thomas Müller,35166,Bundesliga,miss,close-high,71.51,16.67,6049367
Thomas Müller,35166,"UEFA Champions League, Group F",goal,low-centre,59.14,94.67,6049368
Thomas Müller,35166,Bundesliga,goal,high-left,33.87,65.17,6049369
Thomas Müller,35166,Bundesliga,goal,low-centre,53.76,84.17,6049370
Thomas Müller,35166,"UEFA Champions League, Knockout stage",goal,low-left,37.1,80.0,6049371
Thomas Müller,35166,Bundesliga,goal,low-left,36.02,68.33,6049372
Thomas Müller,35166,Bundesliga,goal,low-left,38.17,97.83,6049373
Thomas Müller,35166,"UEFA Champions League, Group E",goal,low-left,36.02,93.67,6049374
Thomas Müller,35166,"UEFA Champions League, Group E",goal,low-right,72.58,95.83,6061360
Thomas Müller,35166,"UEFA Champions League, Group E",goal,high-centre,59.68,49.33,6061361
Thomas Müller,35166,"World Championship, Gr. G",goal,low-left,30.65,96.83,6049375
Thomas Müller,35166,"UEFA Champions League, Knockout stage",save,low-centre,45.7,95.83,6049376
Thomas Müller,35166,Bundesliga,goal,low-left,38.17,83.17,6049377
Thomas Müller,35166,"UEFA Champions League, Group D",goal,low-left,31.18,99.0,6049378
Thomas Müller,35166,Bundesliga,goal,low-left,29.57,91.5,6049379
Thomas Müller,35166,Bundesliga,goal,low-right,66.13,95.83,6049380
Thomas Müller,35166,Bundesliga,goal,low-left,29.03,99.0,6049381
Thomas Müller,35166,"UEFA Champions League, Group F",goal,low-right,67.2,99.0,6061362
Maximilian Beier,980628,2. Bundesliga,save,low-left,36.02,92.67,42604
Maximilian Beier,980628,2. Bundesliga,goal,low-centre,57.53,89.5,11536
Nico Schlotterbeck,940871,,Not Available,,,,
Waldemar Anton,799046,,Not Available,,,,
Florian Wirtz,1019322,Bundesliga,goal,low-left,36.56,71.5,6060528
Florian Wirtz,1019322,DFB Pokal,goal,low-left,27.42,97.83,6060401
Maximilian Mittelstädt,788949,,Not Available,,,,
Leroy Sané,293519,EFL Cup,save,low-left,30.65,85.17,6049382
Leroy Sané,293519,EFL Cup,goal,high-left,25.81,36.67,6049383
Benjamin Henrichs,319857,DFB Pokal,goal,low-left,26.34,97.83,10115
Benjamin Henrichs,319857,Coupe de la Ligue,save,low-left,37.63,77.83,6048596
Benjamin Henrichs,319857,Coupe de la Ligue,goal,low-left,32.26,93.67,6048597
İlkay Gündoğan,45853,LaLiga,save,low-right,68.28,78.83,6057748
İlkay Gündoğan,45853,LaLiga,goal,low-centre,46.77,97.83,5134296
İlkay Gündoğan,45853,Premier League,post,right,78.49,82.0,43327
İlkay Gündoğan,45853,"World Championship, Gr. E",goal,low-centre,44.62,91.5,30201
İlkay Gündoğan,45853,"UEFA Nations League, League A, Gr. 3",goal,low-right,70.43,99.0,13333
İlkay Gündoğan,45853,"UEFA Nations League, League A, Gr. 3",goal,high-centre,55.38,55.67,13334
İlkay Gündoğan,45853,World Championship Qual. UEFA J,goal,low-right,71.51,97.83,13335
İlkay Gündoğan,45853,World Championship Qual. UEFA J,goal,low-right,71.51,97.83,13336
İlkay Gündoğan,45853,World Championship Qual. UEFA J,goal,low-centre,50.0,86.33,13337
İlkay Gündoğan,45853,Premier League,miss,high,24.19,0.0,13338
İlkay Gündoğan,45853,Premier League,goal,low-centre,50.0,76.83,13339
İlkay Gündoğan,45853,Premier League,save,low-right,67.2,94.67,13340
İlkay Gündoğan,45853,FA Cup,goal,low-left,28.49,97.83,13341
İlkay Gündoğan,45853,Premier League,goal,low-right,67.74,99.0,13342
İlkay Gündoğan,45853,Community Shield,goal,low-left,36.02,78.83,6046361
İlkay Gündoğan,45853,"European Championship, Qualification Group C",goal,low-left,36.02,83.17,6046362
İlkay Gündoğan,45853,EFL Cup,goal,low-left,31.72,93.67,6046363
İlkay Gündoğan,45853,EFL Cup,goal,low-right,72.04,96.83,6046364
İlkay Gündoğan,45853,Premier League,goal,low-right,74.73,76.83,6046365
İlkay Gündoğan,45853,EFL Cup,goal,low-centre,46.77,90.5,6046366
İlkay Gündoğan,45853,DFB Pokal,goal,low-left,37.1,71.5,6046367
İlkay Gündoğan,45853,"UEFA Champions League, Knockout stage",goal,low-right,67.2,97.83,6061351
İlkay Gündoğan,45853,DFB Pokal,goal,low-left,26.88,83.83,6046368
Marc-André ter Stegen,88625,,Not Available,,,,
Robert Andrich,168903,,Not Available,,,,
Robin Koch,581302,,Not Available,,,,
Emre Can,138156,Bundesliga,goal,high-right,66.67,61.0,6059578
Emre Can,138156,Bundesliga,goal,low-centre,40.32,97.83,1301443
Emre Can,138156,Bundesliga,goal,high-left,34.41,66.17,42122
Emre Can,138156,Bundesliga,goal,low-left,37.63,80.0,15639
Emre Can,138156,Bundesliga,goal,high-right,72.58,62.0,15640
Emre Can,138156,Bundesliga,goal,low-left,33.87,95.83,15641
Emre Can,138156,Bundesliga,goal,low-right,61.29,99.0,15642
Emre Can,138156,Serie A,goal,low-centre,53.23,95.83,6049288
Emre Can,138156,EFL Cup,goal,low-centre,47.85,89.5,6049289
Emre Can,138156,EFL Cup,post,left,19.89,77.83,6049290
Emre Can,138156,"UEFA Europa League, Knockout stage",goal,low-left,27.42,99.0,6049291
Deniz Undav,794298,Bundesliga,save,low-left,29.57,95.83,3125768
Deniz Undav,794298,FA Cup,goal,low-left,26.34,80.0,42922
Deniz Undav,794298,Pro League,goal,low-left,27.42,70.5,16625
Deniz Undav,794298,Pro League,goal,high-left,36.02,61.0,16626
Deniz Undav,794298,Pro League,goal,low-centre,48.92,92.67,16627
Deniz Undav,794298,Challenger Pro League,goal,low-left,32.26,96.83,16628
Deniz Undav,794298,Challenger Pro League,goal,low-right,66.67,97.83,16629
Deniz Undav,794298,Challenger Pro League,goal,high-left,30.65,59.83,16630
Angus Gunn,227946,,Not Available,,,,
Anthony Ralston,840227,,Not Available,,,,
Andrew Robertson,262911,EFL Cup,goal,low-left,38.71,81.0,11670
Scott McTominay,879346,FA Cup,goal,low-left,34.41,90.5,285
Scott McTominay,879346,"European Championship, Qualification Playoff",goal,low-left,30.11,99.0,286
Scott McTominay,879346,"European Championship, Qualification Playoff",goal,low-left,35.48,99.0,287
Grant Hanley,95791,,Not Available,,,,
Kieran Tierney,366592,,Not Available,,,,
John McGinn,250223,"European Championship, Qualification Group A",goal,low-left,38.17,93.67,3798200
John McGinn,250223,"European Championship, Qualification Playoff",goal,low-left,39.25,96.83,16654
Callum McGregor,97046,Premiership,post,right,78.49,93.67,813
Callum McGregor,97046,"UEFA Europa League, Group G",save,low-right,67.74,78.83,814
Callum McGregor,97046,"UEFA Europa League, Group H",goal,low-right,73.12,99.0,815
Callum McGregor,97046,"European Championship, Qualification Playoff",goal,high-right,67.74,61.0,816
Callum McGregor,97046,"European Championship, Qualification Playoff",goal,low-right,73.12,67.33,817
Callum McGregor,97046,Premiership,goal,low-right,67.74,94.67,818
Callum McGregor,97046,Premiership,goal,low-right,65.59,95.83,819
Lawrence Shankland,237098,Premiership,goal,high-left,29.03,61.0,6061159
Lawrence Shankland,237098,Premiership,goal,high-left,29.03,55.67,6056998
Lawrence Shankland,237098,Premiership,goal,low-right,69.35,76.83,5955523
Lawrence Shankland,237098,Premiership,save,low-left,30.65,87.33,5599761
Lawrence Shankland,237098,Premiership,save,low-centre,43.55,95.83,5369445
Lawrence Shankland,237098,Premiership,post,left,20.43,92.67,5008414
Lawrence Shankland,237098,Scottish League Cup,goal,low-right,72.04,94.67,6058624
Lawrence Shankland,237098,"UEFA Europa Conference League, Qualification Playoff",goal,low-left,26.88,86.33,901795
Lawrence Shankland,237098,"Premiership, Championship Round",goal,high-centre,56.45,65.17,43590
Lawrence Shankland,237098,Premiership,goal,low-left,30.11,73.67,43189
Lawrence Shankland,237098,Premiership,goal,low-left,35.48,92.67,34765
Lawrence Shankland,237098,Premiership,goal,low-right,72.58,80.0,32443
Lawrence Shankland,237098,Premiership,goal,low-left,27.42,91.5,31404
Lawrence Shankland,237098,Premiership,goal,low-right,70.43,75.67,31345
Lawrence Shankland,237098,Premiership,goal,low-centre,51.08,90.5,31162
Lawrence Shankland,237098,Premiership,goal,low-left,25.81,89.5,14810
Lawrence Shankland,237098,Premiership,goal,low-left,38.71,93.67,14811
Lawrence Shankland,237098,Premiership,goal,high-centre,48.39,63.0,14812
Lawrence Shankland,237098,"UEFA Europa Conference League, Group A",goal,high-right,72.58,45.17,14813
Lawrence Shankland,237098,Premiership,goal,low-right,69.35,88.33,14814
Lawrence Shankland,237098,Pro League,goal,low-left,34.41,99.0,14815
Lawrence Shankland,237098,"Premiership, Relegation Round",miss,close-left,9.14,97.67,14816
Lawrence Shankland,237098,"European Championship, Qualification Playoff",goal,low-left,29.03,99.0,14817
Lawrence Shankland,237098,Championship,goal,high-right,72.04,52.5,14818
Lawrence Shankland,237098,Championship,goal,low-right,68.28,91.67,14819
Lawrence Shankland,237098,Championship,goal,low-right,71.51,83.83,6048663
Lawrence Shankland,237098,Championship,goal,low-left,25.27,91.67,6048664
Lawrence Shankland,237098,Championship,goal,low-right,75.27,71.33,6048665
Lawrence Shankland,237098,League One,goal,low-centre,40.86,90.83,6048666
Lawrence Shankland,237098,Championship,miss,close-left,3.76,87.67,6048667
Ché Adams,773409,EFL Cup,goal,low-left,32.8,97.83,1082
Ché Adams,773409,Championship,goal,low-right,72.58,99.0,6045766
Ché Adams,773409,League One,goal,low-centre,54.84,69.83,6045767
Ryan Christie,322391,"UEFA Nations League, League B, Gr. 1",goal,low-centre,59.14,97.83,1012
Ryan Christie,322391,EFL Cup,goal,low-left,29.57,72.5,1013
Ryan Christie,322391,Premiership,goal,low-right,61.29,95.83,1014
Ryan Christie,322391,"UEFA Nations League, League B, Gr. 2",goal,low-right,68.82,97.83,1015
Ryan Christie,322391,"UEFA Nations League, League B, Gr. 2",goal,high-left,26.88,42.0,1016
Ryan Christie,322391,Premiership,save,high-right,64.52,64.17,1017
Ryan Christie,322391,Premiership,save,low-left,34.41,80.0,1018
Ryan Christie,322391,"UEFA Europa League, Group E",goal,low-right,73.66,67.33,1019
Ryan Christie,322391,Premiership,goal,high-left,35.48,47.33,1020
Ryan Christie,322391,"UEFA Champions League, Qualification",goal,low-centre,48.39,72.0,6044199
Ryan Christie,322391,Premiership,goal,low-left,28.49,94.33,6044200
Liam Kelly,287555,,Not Available,,,,
Jack Hendry,795696,,Not Available,,,,
Billy Gilmour,907668,,Not Available,,,,
Ryan Porteous,889776,EFL Cup,miss,high,49.46,0.0,6058257
Liam Cooper,39327,,Not Available,,,,
Stuart Armstrong,117083,Scottish League Cup,goal,high-centre,50.54,41.17,6045765
Lewis Morgan,383550,MLS,save,low-right,63.98,78.83,6060539
Lewis Morgan,383550,MLS,goal,low-right,70.97,93.67,6060251
Lewis Morgan,383550,MLS,goal,low-left,37.63,94.67,3730
Lewis Morgan,383550,MLS,goal,high-left,34.95,47.33,3731
Lewis Morgan,383550,MLS,goal,low-right,72.58,91.5,3732
Lewis Morgan,383550,MLS,goal,low-centre,49.46,84.17,3733
Lewis Morgan,383550,MLS,goal,low-right,70.97,99.0,3734
Lewis Morgan,383550,MLS,goal,low-centre,55.38,80.0,3735
Lewis Morgan,383550,MLS,goal,low-right,67.2,97.83,3736
Tommy Conway,1104987,Championship,goal,low-left,27.42,91.5,6061434
Tommy Conway,1104987,Championship,goal,low-left,37.1,95.83,6060762
Tommy Conway,1104987,Championship,goal,low-right,67.74,96.83,6058142
Tommy Conway,1104987,Championship,goal,low-right,68.28,97.83,4769620
Tommy Conway,1104987,Championship,goal,low-left,30.65,97.83,6058143
Tommy Conway,1104987,EFL Cup,goal,low-left,27.96,73.67,23366
Ryan Jack,35507,,Not Available,,,,
Zander Clark,556366,,Not Available,,,,
Ross McCrorie,795828,,Not Available,,,,
Kenny McLean,75756,EFL Cup,miss,close-right,84.95,88.5,8579
Kenny McLean,75756,"European Championship, Qualification Playoff",goal,low-left,33.87,73.67,8580
Kenny McLean,75756,"European Championship, Qualification Playoff",goal,low-left,34.95,81.0,8581
Kenny McLean,75756,FA Cup,save,low-right,62.9,67.33,8582
Kenny McLean,75756,Championship,save,low-centre,55.91,95.83,6045161
Kenny McLean,75756,Scottish Cup,goal,low-right,72.58,90.83,6045162
Kenny McLean,75756,Scottish Cup,goal,low-right,69.35,90.83,6045163
Kenny McLean,75756,Premiership,goal,low-centre,49.46,78.33,6045164
Kenny McLean,75756,Premiership,goal,high-centre,51.61,51.0,6045165
Kenny McLean,75756,Scottish Cup,goal,low-left,28.49,90.5,6045166
Greg Taylor,839097,Scottish Cup,save,low-left,30.11,88.83,6048464
James Forrest,91744,Scottish League Cup,save,low-centre,50.0,89.5,6048466
James Forrest,91744,"UEFA Champions League, Group H",goal,high-right,70.97,64.17,6061421
Scott McKenna,358108,,Not Available,,,,
Péter Gulácsi,37096,,Not Available,,,,
Ádám Lang,154406,,Not Available,,,,
Botond Balogh,983510,,Not Available,,,,
Attila Szalai,823092,,Not Available,,,,
Attila Fiola,49585,,Not Available,,,,
Willi Orbán,136924,DFB Pokal,goal,low-right,74.19,97.83,10118
Willi Orbán,136924,DFB Pokal,goal,low-centre,50.0,96.83,6048598
Willi Orbán,136924,DFB Pokal,goal,high-right,62.37,47.33,6048599
Loïc Négo,54308,,Not Available,,,,
Ádám Nagy,795713,,Not Available,,,,
Martin Ádám,285739,K-League 1,goal,low-right,68.82,77.83,6061846
Martin Ádám,285739,K-League 1,goal,low-centre,49.46,68.33,6061790
Martin Ádám,285739,AFC Champions League,goal,high-left,29.03,64.17,6061334
Martin Ádám,285739,"AFC Champions League, Group I",goal,low-left,27.42,89.5,6040884
Martin Ádám,285739,K-League 1,goal,high-right,66.13,47.33,6059084
Martin Ádám,285739,K-League 1,goal,high-centre,48.92,65.17,43790
Martin Ádám,285739,"K-League 1, Championship Round",goal,low-right,68.82,72.5,36978
Martin Ádám,285739,"K-League 1, Championship Round",goal,low-left,30.65,91.5,36979
Martin Ádám,285739,K-League 1,goal,low-centre,44.09,80.0,36980
Martin Ádám,285739,K-League 1,goal,low-left,32.26,91.5,36981
Dominik Szoboszlai,869856,"European Championship, Qualification Group G",goal,high-left,39.25,47.33,2655117
Dominik Szoboszlai,869856,Bundesliga,goal,low-left,34.41,96.83,43714
Dominik Szoboszlai,869856,DFB Pokal,goal,low-left,34.41,90.5,43248
Dominik Szoboszlai,869856,"UEFA Nations League, League A, Gr. 3",goal,low-left,29.03,96.83,10123
Dominik Szoboszlai,869856,Bundesliga,post,left,22.04,96.83,10124
Dominik Szoboszlai,869856,"UEFA Champions League, Group A",goal,low-left,27.42,86.33,10125
Dominik Szoboszlai,869856,Bundesliga,goal,low-left,30.65,67.33,10126
Dominik Szoboszlai,869856,Bundesliga,goal,low-left,30.65,69.33,10127
Dominik Szoboszlai,869856,"UEFA Champions League, Qualification",goal,high-left,28.49,58.83,10128
Dominik Szoboszlai,869856,"UEFA Champions League, Qualification",goal,low-left,27.96,77.83,10129
Dominik Szoboszlai,869856,Bundesliga,goal,low-left,29.03,97.83,10130
Dominik Szoboszlai,869856,"Bundesliga, Championship Round",goal,low-left,29.03,96.83,10131
Dominik Szoboszlai,869856,Bundesliga,goal,low-left,32.8,76.83,10132
Dominik Szoboszlai,869856,Bundesliga,goal,high-left,34.95,54.67,6044475
Dominik Szoboszlai,869856,2. Liga,goal,high-centre,50.0,65.0,6044476
Dominik Szoboszlai,869856,2. Liga,goal,low-left,26.34,93.67,6044477
Milos Kerkez,1097425,,Not Available,,,,
Dénes Dibusz,75425,,Not Available,,,,
András Schäfer,877302,,Not Available,,,,
Bendegúz Bolla,921140,Schweizer Cup,save,low-left,28.49,84.17,6062673
Bendegúz Bolla,921140,Super League,goal,high-left,27.42,61.0,6056104
László Kleinheisler,134877,"UEFA Champions League, Qualification",goal,high-right,60.22,65.17,598788
Dániel Gazdag,284605,MLS,goal,low-right,66.67,71.5,6062675
Dániel Gazdag,284605,MLS,goal,low-centre,49.46,82.0,6062000
Dániel Gazdag,284605,MLS,save,low-left,32.26,67.33,6061999
Dániel Gazdag,284605,MLS,goal,low-left,34.95,75.67,6059228
Dániel Gazdag,284605,"MLS, Playoffs",goal,low-right,67.2,73.67,3222960
Dániel Gazdag,284605,MLS,goal,low-right,73.12,96.83,1732821
Dániel Gazdag,284605,MLS,goal,low-left,27.42,88.33,1566058
Dániel Gazdag,284605,MLS,goal,low-right,65.59,77.83,6058923
Dániel Gazdag,284605,Leagues Cup,save,low-right,68.82,80.0,477599
Dániel Gazdag,284605,"Leagues Cup, Group East 1",goal,low-left,28.49,94.67,477601
Dániel Gazdag,284605,"Leagues Cup, Group East 1",goal,low-right,70.97,90.5,477600
Dániel Gazdag,284605,"Leagues Cup, Group East 1",goal,low-left,36.02,73.67,477602
Dániel Gazdag,284605,MLS,goal,low-right,69.35,93.67,46589
Dániel Gazdag,284605,MLS,goal,low-left,27.42,93.67,46588
Dániel Gazdag,284605,MLS,goal,low-right,62.37,94.67,44702
Dániel Gazdag,284605,MLS,goal,low-right,65.05,76.83,43737
Dániel Gazdag,284605,US Open Cup,goal,low-right,68.82,96.83,43449
Dániel Gazdag,284605,MLS,goal,low-left,29.03,96.83,43348
Dániel Gazdag,284605,CONCACAF Champions Cup,goal,low-left,29.57,89.5,43055
Dániel Gazdag,284605,MLS,goal,high-left,32.8,48.33,42664
Dániel Gazdag,284605,CONCACAF Champions Cup,goal,low-right,63.98,85.17,42267
Dániel Gazdag,284605,CONCACAF Champions Cup,goal,low-left,37.63,91.5,40649
Dániel Gazdag,284605,MLS,goal,low-right,60.75,94.67,39416
Dániel Gazdag,284605,MLS,goal,low-right,60.75,94.67,39415
Dániel Gazdag,284605,"MLS, Playoffs",miss,high,49.46,0.0,27949
Dániel Gazdag,284605,MLS,goal,high-centre,40.86,63.0,26937
Dániel Gazdag,284605,MLS,goal,high-centre,43.01,65.17,26938
Dániel Gazdag,284605,MLS,goal,low-right,60.22,76.83,26939
Dániel Gazdag,284605,MLS,goal,low-centre,58.6,93.67,26940
Dániel Gazdag,284605,MLS,goal,high-left,33.87,42.0,26941
Dániel Gazdag,284605,MLS,goal,low-centre,45.7,76.83,26942
Dániel Gazdag,284605,MLS,goal,high-right,60.75,57.83,26943
Dániel Gazdag,284605,MLS,goal,low-left,27.42,70.5,26944
Callum Styles,839940,EFL Cup,post,right,77.96,96.83,2935
Zsolt Nagy,282541,NB I,goal,high-right,70.97,57.83,6062674
Zsolt Nagy,282541,NB I,goal,high-right,66.67,61.0,6061173
Zsolt Nagy,282541,NB I,save,low-left,35.48,71.5,4559171
Barnabás Varga,852434,NB I,goal,low-left,30.65,89.5,6061813
Barnabás Varga,852434,"UEFA Europa Conference League, Group F",goal,high-centre,41.4,57.83,2067982
Barnabás Varga,852434,NB I,goal,low-right,72.58,69.33,4237076
Barnabás Varga,852434,NB I,goal,high-right,72.58,53.67,4237077
Barnabás Varga,852434,"UEFA Europa Conference League, Qualification Playoff",goal,high-centre,51.08,58.83,6058539
Barnabás Varga,852434,"UEFA Europa Conference League, Qualification Playoff",goal,low-right,67.2,96.83,915917
Barnabás Varga,852434,2. Liga,goal,low-centre,49.46,69.83,41241
Roland Sallai,355088,Bundesliga,miss,high,59.68,0.0,6061444
Roland Sallai,355088,World Championship Qual. UEFA I,goal,low-left,36.56,92.67,1441
Roland Sallai,355088,Bundesliga,goal,low-centre,51.08,97.83,1442
Roland Sallai,355088,World Championship Qual. UEFA I,save,low-left,30.65,99.0,1443
Endre Botka,134863,,Not Available,,,,
Péter Szappanos,803307,,Not Available,,,,
Kevin Csoboth,879542,,Not Available,,,,
Márton Dárdai,980618,,Not Available,,,,
Krisztofer Horváth,928572,NB I,goal,low-left,25.81,96.83,6057812
Krisztofer Horváth,928572,NB I,goal,high-right,72.58,55.67,4322382
Krisztofer Horváth,928572,NB I,goal,high-left,34.41,42.0,3657418
Krisztofer Horváth,928572,NB I,goal,low-left,36.56,85.17,3538297
Krisztofer Horváth,928572,NB I,goal,low-left,33.87,95.83,4237368
Krisztofer Horváth,928572,NB I,goal,low-left,29.03,91.5,4237369
Mihály Kata,983511,,Not Available,,,,
Yann Sommer,16206,,Not Available,,,,
Leonidas Stergiou,962898,,Not Available,,,,
Silvan Widmer,157377,,Not Available,,,,
Nico Elvedi,282229,,Not Available,,,,
Manuel Akanji,383560,"Euro, Knockout stage",save,low-left,33.33,96.83,13320
Manuel Akanji,383560,"Euro, Knockout stage",goal,low-left,29.57,95.83,13321
Manuel Akanji,383560,"UEFA Nations League, Finals",goal,high-right,70.43,58.83,6044095
Denis Zakaria,770677,Coupe de France,goal,low-left,31.18,75.67,5189504
Breel Embolo,352296,"UEFA Europa League, Knockout stage",goal,low-right,63.98,77.83,39259
Breel Embolo,352296,Ligue 1,save,low-left,36.56,93.67,7603
Breel Embolo,352296,"UEFA Europa League, Group H",goal,high-left,34.95,66.17,7604
Breel Embolo,352296,Bundesliga,post,left,20.97,93.67,7605
