Player Name,Player Code,Tournament,Outcome,Zone,X,Y,api_id,Scored,Attempts,Number,Nationality,Position,Age,Caps,Goals,Club
Niclas Füllkrug,132645,DFB Pokal,1,3,67.2,95.83,500518,20,21,9,GER,3,31,16,11,Borussia Dortmund
Niclas Füllkrug,132645,Bundesliga,1,1,31.72,99.0,40529,20,21,9,GER,3,31,16,11,Borussia Dortmund
Niclas Füllkrug,132645,Bundesliga,1,3,60.22,96.83,35941,20,21,9,GER,3,31,16,11,Borussia Dortmund
Niclas Füllkrug,132645,DFB Pokal,1,1,31.72,94.67,10106,20,21,9,GER,3,31,16,11,Borussia Dortmund
Niclas Füllkrug,132645,Bundesliga,1,3,63.44,97.83,1221,20,21,9,GER,3,31,16,11,Borussia Dortmund
Niclas Füllkrug,132645,Bundesliga,1,2,57.53,93.67,1222,20,21,9,GER,3,31,16,11,Borussia Dortmund
Niclas Füllkrug,132645,Bundesliga,1,1,30.65,93.67,1223,20,21,9,GER,3,31,16,11,Borussia Dortmund
Niclas Füllkrug,132645,2. Bundesliga,1,1,37.63,96.83,1224,20,21,9,GER,3,31,16,11,Borussia Dortmund
Niclas Füllkrug,132645,2. Bundesliga,1,1,32.8,94.67,1225,20,21,9,GER,3,31,16,11,Borussia Dortmund
Niclas Füllkrug,132645,Bundesliga,1,8,62.9,62.0,1226,20,21,9,GER,3,31,16,11,Borussia Dortmund
Niclas Füllkrug,132645,Bundesliga,1,3,63.98,99.0,1227,20,21,9,GER,3,31,16,11,Borussia Dortmund
Niclas Füllkrug,132645,Bundesliga,1,7,55.91,65.17,6049320,20,21,9,GER,3,31,16,11,Borussia Dortmund
Niclas Füllkrug,132645,DFB Pokal,1,2,58.6,94.67,6049321,20,21,9,GER,3,31,16,11,Borussia Dortmund
Niclas Füllkrug,132645,Bundesliga,1,1,36.02,73.67,6049322,20,21,9,GER,3,31,16,11,Borussia Dortmund
Niclas Füllkrug,132645,Bundesliga,1,3,62.37,94.67,6049323,20,21,9,GER,3,31,16,11,Borussia Dortmund
Niclas Füllkrug,132645,Bundesliga,2,1,29.57,90.5,6049324,20,21,9,GER,3,31,16,11,Borussia Dortmund
Niclas Füllkrug,132645,Bundesliga,1,6,36.56,62.0,6049325,20,21,9,GER,3,31,16,11,Borussia Dortmund
Niclas Füllkrug,132645,2. Bundesliga,1,1,27.96,94.67,6049326,20,21,9,GER,3,31,16,11,Borussia Dortmund
Chris Führich,891510,Bundesliga,2,3,67.2,93.67,3754414,2,3,11,GER,2,26,4,0,VfB Stuttgart
Chris Führich,891510,Bundesliga,1,1,32.8,86.33,35685,2,3,11,GER,2,26,4,0,VfB Stuttgart
Chris Führich,891510,2. Bundesliga,1,1,29.03,92.67,10829,2,3,11,GER,2,26,4,0,VfB Stuttgart
Thomas Müller,35166,DFB Pokal,1,1,34.95,70.5,1378,24,31,13,GER,3,34,129,45,Bayern Munich
Thomas Müller,35166,"UEFA Champions League, Group A",1,3,72.58,75.67,1379,24,31,13,GER,3,34,129,45,Bayern Munich
Thomas Müller,35166,Bundesliga,1,3,70.97,97.83,1380,24,31,13,GER,3,34,129,45,Bayern Munich
Thomas Müller,35166,DFB Pokal,1,1,30.11,81.0,1381,24,31,13,GER,3,34,129,45,Bayern Munich
Thomas Müller,35166,DFB Pokal,1,3,71.51,74.67,6049358,24,31,13,GER,3,34,129,45,Bayern Munich
Thomas Müller,35166,DFB Pokal,0,11,62.9,0.0,6049359,24,31,13,GER,3,34,129,45,Bayern Munich
Thomas Müller,35166,"Euro, Knockout stage",2,3,63.98,93.67,6049360,24,31,13,GER,3,34,129,45,Bayern Munich
Thomas Müller,35166,"UEFA Champions League, Knockout stage",2,1,38.17,72.5,6049361,24,31,13,GER,3,34,129,45,Bayern Munich
Thomas Müller,35166,DFB Pokal,2,3,67.74,74.67,6049362,24,31,13,GER,3,34,129,45,Bayern Munich
Thomas Müller,35166,Bundesliga,1,3,62.9,99.0,6049363,24,31,13,GER,3,34,129,45,Bayern Munich
Thomas Müller,35166,"UEFA Champions League, Group F",3,5,78.49,94.67,6049364,24,31,13,GER,3,34,129,45,Bayern Munich
Thomas Müller,35166,Bundesliga,1,3,74.19,96.83,6049365,24,31,13,GER,3,34,129,45,Bayern Munich
Thomas Müller,35166,Bundesliga,1,3,61.83,99.0,6049366,24,31,13,GER,3,34,129,45,Bayern Munich
Thomas Müller,35166,Bundesliga,0,11,71.51,16.67,6049367,24,31,13,GER,3,34,129,45,Bayern Munich
Thomas Müller,35166,"UEFA Champions League, Group F",1,2,59.14,94.67,6049368,24,31,13,GER,3,34,129,45,Bayern Munich
Thomas Müller,35166,Bundesliga,1,6,33.87,65.17,6049369,24,31,13,GER,3,34,129,45,Bayern Munich
Thomas Müller,35166,Bundesliga,1,2,53.76,84.17,6049370,24,31,13,GER,3,34,129,45,Bayern Munich
Thomas Müller,35166,"UEFA Champions League, Knockout stage",1,1,37.1,80.0,6049371,24,31,13,GER,3,34,129,45,Bayern Munich
Thomas Müller,35166,Bundesliga,1,1,36.02,68.33,6049372,24,31,13,GER,3,34,129,45,Bayern Munich
Thomas Müller,35166,Bundesliga,1,1,38.17,97.83,6049373,24,31,13,GER,3,34,129,45,Bayern Munich
Thomas Müller,35166,"UEFA Champions League, Group E",1,1,36.02,93.67,6049374,24,31,13,GER,3,34,129,45,Bayern Munich
Thomas Müller,35166,"UEFA Champions League, Group E",1,3,72.58,95.83,6061360,24,31,13,GER,3,34,129,45,Bayern Munich
Thomas Müller,35166,"UEFA Champions League, Group E",1,7,59.68,49.33,6061361,24,31,13,GER,3,34,129,45,Bayern Munich
Thomas Müller,35166,"World Championship, Gr. G",1,1,30.65,96.83,6049375,24,31,13,GER,3,34,129,45,Bayern Munich
Thomas Müller,35166,"UEFA Champions League, Knockout stage",2,2,45.7,95.83,6049376,24,31,13,GER,3,34,129,45,Bayern Munich
Thomas Müller,35166,Bundesliga,1,1,38.17,83.17,6049377,24,31,13,GER,3,34,129,45,Bayern Munich
Thomas Müller,35166,"UEFA Champions League, Group D",1,1,31.18,99.0,6049378,24,31,13,GER,3,34,129,45,Bayern Munich
Thomas Müller,35166,Bundesliga,1,1,29.57,91.5,6049379,24,31,13,GER,3,34,129,45,Bayern Munich
Thomas Müller,35166,Bundesliga,1,3,66.13,95.83,6049380,24,31,13,GER,3,34,129,45,Bayern Munich
Thomas Müller,35166,Bundesliga,1,1,29.03,99.0,6049381,24,31,13,GER,3,34,129,45,Bayern Munich
Thomas Müller,35166,"UEFA Champions League, Group F",1,3,67.2,99.0,6061362,24,31,13,GER,3,34,129,45,Bayern Munich
Maximilian Beier,980628,2. Bundesliga,2,1,36.02,92.67,42604,1,2,14,GER,3,21,1,0,TSG Hoffenheim
Maximilian Beier,980628,2. Bundesliga,1,2,57.53,89.5,11536,1,2,14,GER,3,21,1,0,TSG Hoffenheim
Florian Wirtz,1019322,Bundesliga,1,1,36.56,71.5,6060528,2,2,17,GER,2,21,18,1,Bayer Leverkusen
Florian Wirtz,1019322,DFB Pokal,1,1,27.42,97.83,6060401,2,2,17,GER,2,21,18,1,Bayer Leverkusen
Leroy Sané,293519,EFL Cup,2,1,30.65,85.17,6049382,1,2,19,GER,2,28,60,13,Bayern Munich
Leroy Sané,293519,EFL Cup,1,6,25.81,36.67,6049383,1,2,19,GER,2,28,60,13,Bayern Munich
Benjamin Henrichs,319857,DFB Pokal,1,1,26.34,97.83,10115,2,3,20,GER,1,27,15,0,RB Leipzig
Benjamin Henrichs,319857,Coupe de la Ligue,2,1,37.63,77.83,6048596,2,3,20,GER,1,27,15,0,RB Leipzig
Benjamin Henrichs,319857,Coupe de la Ligue,1,1,32.26,93.67,6048597,2,3,20,GER,1,27,15,0,RB Leipzig
İlkay Gündoğan,45853,LaLiga,2,3,68.28,78.83,6057748,19,23,21,GER,2,33,77,18,Barcelona
İlkay Gündoğan,45853,LaLiga,1,2,46.77,97.83,5134296,19,23,21,GER,2,33,77,18,Barcelona
İlkay Gündoğan,45853,Premier League,3,5,78.49,82.0,43327,19,23,21,GER,2,33,77,18,Barcelona
İlkay Gündoğan,45853,"World Championship, Gr. E",1,2,44.62,91.5,30201,19,23,21,GER,2,33,77,18,Barcelona
İlkay Gündoğan,45853,"UEFA Nations League, League A, Gr. 3",1,3,70.43,99.0,13333,19,23,21,GER,2,33,77,18,Barcelona
İlkay Gündoğan,45853,"UEFA Nations League, League A, Gr. 3",1,7,55.38,55.67,13334,19,23,21,GER,2,33,77,18,Barcelona
İlkay Gündoğan,45853,World Championship Qual. UEFA J,1,3,71.51,97.83,13335,19,23,21,GER,2,33,77,18,Barcelona
İlkay Gündoğan,45853,World Championship Qual. UEFA J,1,3,71.51,97.83,13336,19,23,21,GER,2,33,77,18,Barcelona
İlkay Gündoğan,45853,World Championship Qual. UEFA J,1,2,50.0,86.33,13337,19,23,21,GER,2,33,77,18,Barcelona
İlkay Gündoğan,45853,Premier League,0,11,24.19,0.0,13338,19,23,21,GER,2,33,77,18,Barcelona
İlkay Gündoğan,45853,Premier League,1,2,50.0,76.83,13339,19,23,21,GER,2,33,77,18,Barcelona
İlkay Gündoğan,45853,Premier League,2,3,67.2,94.67,13340,19,23,21,GER,2,33,77,18,Barcelona
İlkay Gündoğan,45853,FA Cup,1,1,28.49,97.83,13341,19,23,21,GER,2,33,77,18,Barcelona
İlkay Gündoğan,45853,Premier League,1,3,67.74,99.0,13342,19,23,21,GER,2,33,77,18,Barcelona
İlkay Gündoğan,45853,Community Shield,1,1,36.02,78.83,6046361,19,23,21,GER,2,33,77,18,Barcelona
İlkay Gündoğan,45853,"European Championship, Qualification Group C",1,1,36.02,83.17,6046362,19,23,21,GER,2,33,77,18,Barcelona
İlkay Gündoğan,45853,EFL Cup,1,1,31.72,93.67,6046363,19,23,21,GER,2,33,77,18,Barcelona
İlkay Gündoğan,45853,EFL Cup,1,3,72.04,96.83,6046364,19,23,21,GER,2,33,77,18,Barcelona
İlkay Gündoğan,45853,Premier League,1,3,74.73,76.83,6046365,19,23,21,GER,2,33,77,18,Barcelona
İlkay Gündoğan,45853,EFL Cup,1,2,46.77,90.5,6046366,19,23,21,GER,2,33,77,18,Barcelona
İlkay Gündoğan,45853,DFB Pokal,1,1,37.1,71.5,6046367,19,23,21,GER,2,33,77,18,Barcelona
İlkay Gündoğan,45853,"UEFA Champions League, Knockout stage",1,3,67.2,97.83,6061351,19,23,21,GER,2,33,77,18,Barcelona
İlkay Gündoğan,45853,DFB Pokal,1,1,26.88,83.83,6046368,19,23,21,GER,2,33,77,18,Barcelona
Emre Can,138156,Bundesliga,1,8,66.67,61.0,6059578,10,11,25,GER,2,30,43,1,Borussia Dortmund
Emre Can,138156,Bundesliga,1,2,40.32,97.83,1301443,10,11,25,GER,2,30,43,1,Borussia Dortmund
Emre Can,138156,Bundesliga,1,6,34.41,66.17,42122,10,11,25,GER,2,30,43,1,Borussia Dortmund
Emre Can,138156,Bundesliga,1,1,37.63,80.0,15639,10,11,25,GER,2,30,43,1,Borussia Dortmund
Emre Can,138156,Bundesliga,1,8,72.58,62.0,15640,10,11,25,GER,2,30,43,1,Borussia Dortmund
Emre Can,138156,Bundesliga,1,1,33.87,95.83,15641,10,11,25,GER,2,30,43,1,Borussia Dortmund
Emre Can,138156,Bundesliga,1,3,61.29,99.0,15642,10,11,25,GER,2,30,43,1,Borussia Dortmund
Emre Can,138156,Serie A,1,2,53.23,95.83,6049288,10,11,25,GER,2,30,43,1,Borussia Dortmund
Emre Can,138156,EFL Cup,1,2,47.85,89.5,6049289,10,11,25,GER,2,30,43,1,Borussia Dortmund
Emre Can,138156,EFL Cup,3,4,19.89,77.83,6049290,10,11,25,GER,2,30,43,1,Borussia Dortmund
Emre Can,138156,"UEFA Europa League, Knockout stage",1,1,27.42,99.0,6049291,10,11,25,GER,2,30,43,1,Borussia Dortmund
Deniz Undav,794298,Bundesliga,2,1,29.57,95.83,3125768,7,8,26,GER,3,27,2,0,VfB Stuttgart
Deniz Undav,794298,FA Cup,1,1,26.34,80.0,42922,7,8,26,GER,3,27,2,0,VfB Stuttgart
Deniz Undav,794298,Pro League,1,1,27.42,70.5,16625,7,8,26,GER,3,27,2,0,VfB Stuttgart
Deniz Undav,794298,Pro League,1,6,36.02,61.0,16626,7,8,26,GER,3,27,2,0,VfB Stuttgart
